location,rest_type,cuisines
Bellandur,Cafe,"Cafe, Healthy Food, Salad"
Indiranagar,Quick Bites,"South Indian, Biryani"
HSR,Casual Dining,"Italian, Chinese, Continental, Steak"
Domlur,"Dessert Parlor, Bakery","Desserts, Bakery"
Indiranagar,Casual Dining,"Biryani, North Indian"
"Varthur Main Road, Whitefield",Kiosk,"Street Food, North Indian"
Race Course Road,Casual Dining,"North Indian, Continental"
Rajajinagar,Casual Dining,"North Indian, Chinese"
Thippasandra,"Takeaway, Delivery",North Indian
Bannerghatta Road,"Microbrewery, Casual Dining","Continental, North Indian, Chinese, Pizza, Thai"
JP Nagar,Delivery,"Fast Food, Burger, Sandwich"
Indiranagar,Delivery,"North Indian, Mughlai, Chinese"
Indiranagar,"Cafe, Casual Dining","Cafe, Continental, Momos, Italian, North Indian"
Church Street,Cafe,Cafe
HSR,Quick Bites,Biryani
Electronic City,Casual Dining,"Andhra, North Indian, Biryani"
HSR,Quick Bites,"Rolls, Salad, Sandwich"
Sarjapur Road,Casual Dining,"Maharashtrian, Seafood"
Jayanagar,Cafe,"Cafe, Salad, Wraps, Beverages"
Jayanagar,Quick Bites,Fast Food
Frazer Town,Casual Dining,"Continental, Chinese, Steak"
BTM,Quick Bites,North Indian
Brookefield,Quick Bites,"Salad, Fast Food"
Residency Road,Casual Dining,North Indian
Sarjapur Road,Cafe,"Cafe, Fast Food"
Koramangala 5th Block,"Pub, Microbrewery","Continental, North Indian, Chinese, European, BBQ, Finger Food, Asian"
HSR,Quick Bites,"Arabian, North Indian"
Bellandur,Casual Dining,"North Indian, Chinese, Street Food, Fast Food, Mithai"
Electronic City,Quick Bites,"North Indian, South Indian, Chinese"
Marathahalli,Quick Bites,Bengali
Vasanth Nagar,Delivery,"North Indian, Biryani, Fast Food"
Electronic City,Dessert Parlor,"Ice Cream, Desserts"
Indiranagar,Casual Dining,"Chinese, Seafood"
Marathahalli,Casual Dining,"Biryani, North Indian, Chinese, Seafood"
JP Nagar,Delivery,"Fast Food, Burger, Sandwich"
Koramangala 6th Block,Delivery,"Bakery, Desserts"
St. Marks Road,Quick Bites,"Burger, Turkish, Arabian, Fast Food, Salad, Healthy Food, Desserts"
JP Nagar,Quick Bites,"South Indian, North Indian, Chinese"
BTM,Delivery,"Biryani, Chinese, Mughlai, Fast Food, Kebab"
Koramangala 5th Block,Cafe,"Cafe, Continental, Italian, Burger"
Indiranagar,Delivery,"South Indian, North Indian, Beverages"
BTM,"Takeaway, Delivery",Bakery
Jayanagar,Quick Bites,South Indian
Bellandur,Quick Bites,North Indian
BTM,Quick Bites,"Kerala, Chinese"
Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian"
Koramangala 4th Block,Cafe,"Cafe, American, European"
Marathahalli,"Pub, Casual Dining","North Indian, Chinese, Continental, Momos"
Lavelle Road,"Casual Dining, Irani Cafee","Parsi, North Indian"
HSR,"Takeaway, Delivery","Biryani, Fast Food, North Indian, Chinese"
South Bangalore,Delivery,Biryani
Banaswadi,Casual Dining,"North Indian, Chinese, Biryani"
JP Nagar,Casual Dining,"BBQ, Arabian, Chinese, North Indian, Desserts"
HSR,Casual Dining,"Chinese, North Indian, Arabian, Kerala"
Malleshwaram,Quick Bites,South Indian
Banaswadi,Casual Dining,"Chinese, Momos"
Residency Road,"Bar, Casual Dining","Asian, Burger, Chinese, Finger Food"
Marathahalli,Delivery,"North Indian, Fast Food, Burger, Momos"
New BEL Road,Quick Bites,"Chinese, North Indian, Mangalorean"
Banashankari,Quick Bites,"North Indian, Fast Food, Rolls"
Jayanagar,Quick Bites,"South Indian, North Indian"
Vijay Nagar,Quick Bites,South Indian
Koramangala 1st Block,Dessert Parlor,"Ice Cream, Beverages"
Church Street,Dessert Parlor,"Ice Cream, Desserts"
Marathahalli,Quick Bites,North Indian
Kalyan Nagar,Casual Dining,"Biryani, North Indian"
Sarjapur Road,Quick Bites,"North Indian, Kerala"
Banashankari,Cafe,"Cafe, Italian, Continental"
Bannerghatta Road,Bakery,Bakery
JP Nagar,"Pub, Bar","Finger Food, Chinese, Continental"
Ulsoor,Casual Dining,"Chinese, North Indian, South Indian"
BTM,Dessert Parlor,"Desserts, Beverages"
Koramangala 4th Block,Bar,"Finger Food, North Indian, Chinese"
Jayanagar,Dessert Parlor,"Ice Cream, Desserts"
Marathahalli,Quick Bites,"Mithai, Street Food"
Brookefield,Quick Bites,"North Indian, Chinese"
Bellandur,Club,"North Indian, Chinese"
Banaswadi,Kiosk,Street Food
Frazer Town,Casual Dining,"Continental, Steak"
Bannerghatta Road,Quick Bites,"North Indian, South Indian, Seafood, Rolls"
Electronic City,Casual Dining,"Andhra, Chinese, North Indian, South Indian"
Whitefield,Casual Dining,"Biryani, Chinese, North Indian, South Indian"
Richmond Road,Quick Bites,"Biryani, Mughlai, Fast Food"
Sadashiv Nagar,Delivery,Desserts
Commercial Street,Casual Dining,"North Indian, Street Food"
BTM,Casual Dining,"North Indian, Chinese, Fast Food, Rolls, Beverages"
Jayanagar,Quick Bites,Street Food
Brigade Road,Quick Bites,"South Indian, Beverages"
Koramangala 1st Block,Cafe,Cafe
Indiranagar,Casual Dining,North Indian
Indiranagar,Casual Dining,"Chinese, Vietnamese, Momos, Thai"
HSR,Quick Bites,Fast Food
Bannerghatta Road,Quick Bites,Biryani
Whitefield,Casual Dining,"South Indian, North Indian, Chinese"
Bannerghatta Road,Quick Bites,"Street Food, Fast Food"
Marathahalli,Casual Dining,"South Indian, North Indian, Chinese"
Bommanahalli,Bakery,Bakery
Malleshwaram,Quick Bites,"Pizza, Italian"
BTM,Quick Bites,"Pizza, Fast Food"
New BEL Road,Quick Bites,"Pizza, Fast Food"
Koramangala 7th Block,Quick Bites,South Indian
Infantry Road,"Casual Dining, Bar","Seafood, North Indian, Chinese"
St. Marks Road,"Bar, Casual Dining","Mediterranean, Italian, Asian"
Jayanagar,Quick Bites,"North Indian, Chinese"
JP Nagar,Quick Bites,"North Indian, Chinese, Kebab, Juices"
Ulsoor,"Cafe, Bakery","Cafe, Mediterranean, Bakery, Greek, Beverages"
Koramangala 7th Block,Quick Bites,"North Indian, Chinese, Rolls"
Sarjapur Road,Quick Bites,"Fast Food, Burger"
Jayanagar,Quick Bites,"Fast Food, Sandwich"
New BEL Road,Cafe,"Cafe, North Indian, Chinese, Fast Food"
MG Road,Lounge,"Asian, North Indian, Thai"
Sarjapur Road,Quick Bites,"North Indian, Chinese, Rolls"
Bommanahalli,Sweet Shop,Mithai
Kalyan Nagar,Casual Dining,"Kerala, Chinese, Arabian, Biryani"
BTM,Quick Bites,Beverages
Race Course Road,Casual Dining,"South Indian, North Indian"
Jayanagar,Quick Bites,"Fast Food, Pizza, Desserts"
Koramangala 1st Block,Delivery,"North Indian, South Indian, Chinese, Continental"
Koramangala 6th Block,Dessert Parlor,"Ice Cream, Desserts"
Brookefield,Quick Bites,"North Indian, South Indian, Chinese, Street Food, Mithai"
Domlur,Quick Bites,"South Indian, North Indian"
Marathahalli,Quick Bites,"Fast Food, Rolls"
Jayanagar,Casual Dining,"North Indian, South Indian, Biryani, Beverages"
Banashankari,Quick Bites,"Fast Food, Beverages"
Basavanagudi,Quick Bites,"Mughlai, Biryani"
Rajajinagar,"Casual Dining, Bar","Continental, North Indian, Chinese"
BTM,Quick Bites,Kerala
Race Course Road,Casual Dining,"North Indian, South Indian, Chinese"
Electronic City,Cafe,"Cafe, Fast Food"
Brookefield,Dessert Parlor,Desserts
BTM,"Takeaway, Delivery","North Indian, Chinese"
Kumaraswamy Layout,Quick Bites,North Indian
BTM,"Beverage Shop, Quick Bites","Beverages, Fast Food"
Koramangala 3rd Block,Delivery,"Continental, Asian, North Indian"
Indiranagar,"Takeaway, Delivery",Fast Food
Bannerghatta Road,Casual Dining,"Chinese, South Indian, North Indian"
Koramangala 7th Block,"Casual Dining, Bar","Asian, American, Mexican"
Whitefield,"Takeaway, Delivery","Biryani, North Indian, Kebab"
Indiranagar,Delivery,"South Indian, North Indian, Beverages"
Marathahalli,Casual Dining,"Continental, Biryani, Pizza, North Indian, Chinese, Momos, Andhra, Kebab"
Indiranagar,Casual Dining,"European, Italian, Desserts, Salad, Juices, Steak"
Marathahalli,Quick Bites,"North Indian, Chinese"
Sarjapur Road,Quick Bites,"Fast Food, Beverages"
Sarjapur Road,Quick Bites,"Fast Food, Street Food"
Marathahalli,"Takeaway, Delivery","Tibetan, Momos"
Hennur,Cafe,"Cafe, Italian"
Electronic City,Casual Dining,"Biryani, South Indian, Chinese"
BTM,Casual Dining,"Arabian, Mughlai, Biryani, North Indian, Chinese, Seafood"
Malleshwaram,Quick Bites,"South Indian, Fast Food"
Marathahalli,Quick Bites,"North Indian, Chinese"
Bellandur,Cafe,Cafe
JP Nagar,Quick Bites,"South Indian, Andhra"
Jayanagar,Cafe,"Cafe, Fast Food, Beverages"
Marathahalli,Quick Bites,"Biryani, Chinese"
Domlur,Cafe,"Cafe, Fast Food"
HSR,"Cafe, Casual Dining","Cafe, Tea, Continental, Mediterranean, Italian, Desserts, Beverages"
Electronic City,Casual Dining,"Continental, South Indian, North Indian, Asian"
Malleshwaram,Cafe,Cafe
JP Nagar,Quick Bites,"Mangalorean, North Indian, Chinese"
Whitefield,"Casual Dining, Bar","Mughlai, North Indian, Biryani, Afghan"
Marathahalli,"Casual Dining, Bar","North Indian, Mediterranean, European, BBQ"
Sahakara Nagar,Quick Bites,"South Indian, Fast Food"
Church Street,Pub,"Finger Food, Continental, Asian, North Indian"
Vasanth Nagar,Dessert Parlor,Desserts
Koramangala 4th Block,Quick Bites,"North Indian, South Indian"
Nagawara,Casual Dining,"Biryani, Chinese, Mughlai, Andhra"
Church Street,"Casual Dining, Bar","Bengali, Seafood"
Malleshwaram,Casual Dining,"Chinese, Thai"
Vasanth Nagar,"Takeaway, Delivery",North Indian
Church Street,Cafe,"Cafe, Continental, American, Burger"
Electronic City,"Takeaway, Delivery","Juices, Beverages, Ice Cream"
BTM,"Cafe, Bakery","Cafe, Bakery"
Koramangala 5th Block,Dessert Parlor,Ice Cream
Whitefield,Delivery,"Tea, Beverages"
Electronic City,Casual Dining,"Chinese, Thai"
Domlur,Quick Bites,"North Indian, Chinese, Fast Food"
Bannerghatta Road,Delivery,North Indian
Jayanagar,Casual Dining,"Chinese, Thai, Continental, North Indian"
Bellandur,Casual Dining,"North Indian, Andhra"
Koramangala 6th Block,Quick Bites,South Indian
Basavanagudi,Quick Bites,"South Indian, North Indian, Chinese, Street Food"
Jayanagar,Quick Bites,"Seafood, Biryani, South Indian, North Indian, Chinese, Kebab"
Bellandur,Casual Dining,North Indian
BTM,Casual Dining,"North Indian, Chinese"
Whitefield,Quick Bites,Street Food
Marathahalli,"Quick Bites, Sweet Shop","Street Food, Mithai, North Indian, Beverages, Desserts"
Residency Road,Quick Bites,"Chinese, Italian"
BTM,Cafe,"Cafe, Continental, Fast Food"
Residency Road,"Microbrewery, Casual Dining","Continental, BBQ, Salad"
Indiranagar,Dessert Parlor,"Ice Cream, Desserts"
Whitefield,Quick Bites,North Indian
North Bangalore,Food Truck,"Chinese, Fast Food"
Indiranagar,Casual Dining,"Italian, Pizza, Salad"
JP Nagar,Casual Dining,North Indian
Residency Road,Quick Bites,"Chinese, North Indian"
Koramangala 4th Block,Bakery,"Bakery, Desserts"
Bommanahalli,Bar,"Finger Food, Fast Food"
Electronic City,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food"
Jayanagar,Quick Bites,"Burger, Sandwich, Beverages"
Whitefield,Bakery,"Bakery, Desserts"
BTM,Beverage Shop,Tea
Sarjapur Road,Beverage Shop,Juices
Race Course Road,Casual Dining,"North Indian, South Indian"
Sarjapur Road,"Beverage Shop, Dessert Parlor","Beverages, Ice Cream"
HSR,Quick Bites,"North Indian, Chinese, Biryani"
Whitefield,Quick Bites,"Street Food, North Indian, Fast Food"
MG Road,Casual Dining,"Asian, Thai"
Bannerghatta Road,Quick Bites,"North Indian, Chinese"
JP Nagar,Quick Bites,"Fast Food, Burger"
Jayanagar,"Beverage Shop, Dessert Parlor","Desserts, Beverages, Ice Cream"
Rajajinagar,Quick Bites,Italian
Kalyan Nagar,Quick Bites,Biryani
Marathahalli,Quick Bites,"North Indian, Beverages"
JP Nagar,Casual Dining,"Rajasthani, Gujarati, North Indian, South Indian"
BTM,Casual Dining,"North Indian, South Indian"
Frazer Town,Quick Bites,"Juices, Fast Food, Beverages"
Koramangala 6th Block,Delivery,Pizza
Bellandur,Cafe,"Cafe, Desserts"
Hennur,Quick Bites,"Burger, Fast Food"
Race Course Road,Casual Dining,"Chinese, South Indian, North Indian"
Sarjapur Road,Quick Bites,South Indian
Koramangala 4th Block,Quick Bites,"Italian, Pizza, Beverages"
Bannerghatta Road,Delivery,"North Indian, Biryani"
BTM,Quick Bites,"North Indian, Biryani, Mughlai, Kebab"
BTM,Quick Bites,"Biryani, North Indian, Kebab"
Vasanth Nagar,Quick Bites,"South Indian, Chinese"
MG Road,Quick Bites,"North Indian, Chinese, Fast Food"
HSR,Delivery,"North Indian, Chinese"
HSR,Delivery,"Biryani, Fast Food"
HSR,Dessert Parlor,"Beverages, Bubble Tea, Desserts"
Indiranagar,"Cafe, Quick Bites","Italian, American, Chinese, Arabian, North Indian, Cafe"
Jayanagar,Casual Dining,"Biryani, North Indian, Andhra"
HSR,Casual Dining,"North Indian, Mughlai, South Indian, Chinese"
JP Nagar,Dessert Parlor,"Desserts, Ice Cream"
Electronic City,Casual Dining,"North Indian, Chinese, Mangalorean, Andhra"
Bannerghatta Road,Casual Dining,"Chinese, Thai, Momos, Vietnamese"
Cunningham Road,Cafe,"Cafe, Continental, Italian, Burger"
HSR,"Takeaway, Delivery","Continental, North Indian"
Jayanagar,Quick Bites,"Chinese, Fast Food"
Koramangala 5th Block,Casual Dining,"North Indian, Chinese, Biryani"
Koramangala 5th Block,Quick Bites,"Tibetan, Chinese, Continental, Momos"
JP Nagar,Casual Dining,North Indian
Jayanagar,Beverage Shop,"Beverages, Juices, Ice Cream"
Indiranagar,"Pub, Casual Dining",Finger Food
HBR Layout,Delivery,"Biryani, Hyderabadi"
JP Nagar,Casual Dining,"North Indian, Chinese, Assamese"
Bannerghatta Road,"Quick Bites, Sweet Shop","Street Food, Mithai, North Indian"
HSR,Casual Dining,"Chinese, North Indian, Kerala, Seafood, Fast Food"
Kalyan Nagar,Cafe,Cafe
HSR,Delivery,"North Indian, Chinese"
Basavanagudi,Quick Bites,"South Indian, Mangalorean"
Church Street,Lounge,"American, North Indian, Chinese, Finger Food, Momos"
BTM,Quick Bites,"North Indian, Chinese, Rolls"
Bommanahalli,Quick Bites,"Arabian, Kerala, North Indian, Chinese, BBQ"
BTM,Quick Bites,"Bihari, Chinese"
BTM,Casual Dining,"South Indian, North Indian, Chinese"
MG Road,"Casual Dining, Bar","Continental, Chinese"
Koramangala 7th Block,Quick Bites,"Chinese, Burger"
Yeshwantpur,Casual Dining,"North Indian, Chinese, South Indian, Juices"
New BEL Road,Quick Bites,"North Indian, Chinese, Biryani"
HSR,Quick Bites,"North Indian, Chinese, Biryani, Rolls"
Koramangala 6th Block,Cafe,"Cafe, Continental, Italian"
Brigade Road,Cafe,Cafe
City Market,"Takeaway, Delivery","Healthy Food, Juices"
Kalyan Nagar,Quick Bites,"North Indian, Chinese"
New BEL Road,Cafe,"Cafe, Italian, Burger, American, Steak"
Koramangala 1st Block,"Takeaway, Delivery","Italian, North Indian, Biryani"
Whitefield,Delivery,"Sandwich, Beverages"
Koramangala 1st Block,"Casual Dining, Bar","North Indian, South Indian, Chinese, Continental, Mangalorean"
Koramangala 5th Block,"Casual Dining, Pub","North Indian, Chinese, Pizza"
Banashankari,Bakery,"Bakery, Desserts"
Richmond Road,Fine Dining,"North Indian, Mughlai"
BTM,Beverage Shop,"Beverages, Juices"
BTM,"Takeaway, Delivery",Asian
Koramangala 6th Block,Casual Dining,"Italian, North Indian, Healthy Food, Desserts"
Vijay Nagar,Casual Dining,"North Indian, South Indian, Chinese"
JP Nagar,Casual Dining,"Healthy Food, South Indian"
Kammanahalli,Cafe,"Cafe, Italian, Pizza, Beverages, Desserts"
Brigade Road,Cafe,"Cafe, American, Italian, Burger"
Domlur,Quick Bites,"Biryani, Chinese"
New BEL Road,Quick Bites,"North Indian, Chinese"
JP Nagar,Quick Bites,"Burger, Fast Food, Roast Chicken, Finger Food"
Rajajinagar,Quick Bites,Chinese
Electronic City,Casual Dining,"North Indian, Chinese, South Indian"
BTM,"Casual Dining, Bar","Asian, Continental, Finger Food"
MG Road,Fine Dining,"American, North Indian, European, Tex-Mex"
Malleshwaram,Dessert Parlor,"Ice Cream, Beverages, Fast Food"
Whitefield,Casual Dining,"Biryani, Seafood, South Indian"
Residency Road,Casual Dining,"North Indian, Mughlai, Afghan"
Lavelle Road,"Casual Dining, Irani Cafee","Parsi, North Indian"
Indiranagar,"Fine Dining, Bar","Modern Indian, European, American"
Bellandur,Quick Bites,"North Indian, Chinese"
Koramangala 5th Block,Dessert Parlor,"Ice Cream, Desserts, Beverages"
"Varthur Main Road, Whitefield",Quick Bites,"North Indian, Mithai"
MG Road,Lounge,"North Indian, Chinese, Mediterranean"
Koramangala 6th Block,Casual Dining,"Mangalorean, Seafood, Chinese, North Indian"
New BEL Road,Casual Dining,"North Indian, Chinese"
Ulsoor,Quick Bites,"North Indian, Chinese, South Indian"
Koramangala 6th Block,Quick Bites,"South Indian, North Indian, Street Food"
Basavanagudi,Quick Bites,South Indian
Banashankari,Quick Bites,South Indian
BTM,Dessert Parlor,"Desserts, Beverages"
HSR,Casual Dining,"Biryani, North Indian, South Indian, Chinese"
Kalyan Nagar,Cafe,Cafe
Kalyan Nagar,Quick Bites,"Street Food, North Indian"
Rajajinagar,Bakery,Bakery
"Varthur Main Road, Whitefield","Takeaway, Delivery","Juices, Beverages, Ice Cream"
Banaswadi,Quick Bites,Chinese
Whitefield,"Quick Bites, Beverage Shop","North Indian, Healthy Food, Beverages"
JP Nagar,Takeaway,"Chinese, North Indian"
Yeshwantpur,Quick Bites,"South Indian, North Indian"
Infantry Road,Cafe,"Cafe, Fast Food, Burger"
Jayanagar,"Takeaway, Delivery",North Indian
Race Course Road,Fine Dining,"North Indian, South Indian"
New BEL Road,Casual Dining,"Continental, Italian"
HSR,Casual Dining,"Andhra, Biryani, North Indian"
Koramangala 5th Block,Quick Bites,South Indian
HSR,Quick Bites,"North Indian, Kebab, Chinese, Fast Food"
MG Road,"Casual Dining, Bar","Thai, Continental, North Indian"
Jeevan Bhima Nagar,Cafe,Cafe
Jayanagar,Cafe,"Cafe, Burger, Continental, Italian, Desserts"
BTM,Sweet Shop,Mithai
Jayanagar,Cafe,"Cafe, Continental"
Indiranagar,Casual Dining,"North Indian, Street Food, Chinese"
Bellandur,Casual Dining,"Chinese, North Indian, Salad, Fast Food"
Church Street,Cafe,"Cafe, Continental, American, Desserts"
HSR,Quick Bites,"Biryani, Italian, BBQ"
Malleshwaram,Fine Dining,"Italian, European, Mediterranean"
HSR,Quick Bites,"Chinese, North Indian, South Indian"
Jayanagar,Delivery,"Desserts, Bakery"
Koramangala 8th Block,Bakery,"Bakery, Desserts"
Church Street,Cafe,"Cafe, Italian, Burger, American, Steak"
HSR,Casual Dining,"South Indian, Chettinad, Chinese, North Indian, Andhra, Seafood"
JP Nagar,Casual Dining,"North Indian, Chinese"
Malleshwaram,Food Court,"North Indian, Chinese, Fast Food, Street Food"
Koramangala 1st Block,Casual Dining,"Biryani, Kebab"
Kumaraswamy Layout,Quick Bites,"South Indian, Mangalorean"
Jayanagar,Quick Bites,"North Indian, Chinese"
HSR,Quick Bites,Pizza
Shanti Nagar,Casual Dining,"North Indian, Chinese"
Koramangala 4th Block,Quick Bites,"Street Food, Sandwich, Beverages"
HSR,Delivery,"Tea, Beverages"
Shivajinagar,Casual Dining,"North Indian, South Indian, Chinese"
Rajajinagar,Food Court,"Burger, Fast Food, Beverages"
Bellandur,Quick Bites,"North Indian, South Indian, Street Food, Chinese"
Marathahalli,Quick Bites,"South Indian, North Indian, Chinese"
Church Street,"Casual Dining, Bar","South Indian, Chettinad, Kerala, Seafood"
Bellandur,Casual Dining,Chinese
Koramangala 5th Block,Cafe,Cafe
Cunningham Road,"Pub, Cafe","North Indian, Thai, Japanese, Continental, Cafe"
HSR,Quick Bites,"Juices, Ice Cream"
Electronic City,"Casual Dining, Bar","Chinese, North Indian, Thai"
Malleshwaram,Dessert Parlor,"Ice Cream, Desserts"
Nagawara,Casual Dining,"Continental, Italian, Burger, American"
Banashankari,Quick Bites,"Fast Food, Italian, Beverages"
Marathahalli,Casual Dining,"Biryani, Andhra"
BTM,"Takeaway, Delivery","Biryani, North Indian"
BTM,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food"
Frazer Town,Delivery,"North Indian, Chinese"
HSR,Delivery,"Biryani, Mughlai"
New BEL Road,Quick Bites,"Burger, Fast Food"
Old Airport Road,Quick Bites,"South Indian, North Indian"
Sarjapur Road,Quick Bites,"Pizza, Fast Food"
Whitefield,"Takeaway, Delivery","North Indian, Hyderabadi, Andhra, Chinese"
Whitefield,Quick Bites,"North Indian, South Indian, Chinese, Biryani"
Church Street,Dessert Parlor,Desserts
Jayanagar,Quick Bites,Street Food
Brigade Road,Quick Bites,"Kerala, Chinese, South Indian, North Indian"
